Group Stage Predictions
Group A
June 14,Germany,4,Scotland,1
June 15,Hungary,2,Switzerland,2
June 19,Scotland,1,Switzerland,1
June 19,Germany,2,Hungary,1
June 23,Switzerland,2,Germany,1
June 23,Scotland,2,Hungary,4

Group B
June 15,Spain,2,Croatia,2
June 15,Italy,1,Albania,2
June 19,Croatia,4,Albania,2
June 20,Spain,2,Italy,7
June 24,Albania,1,Spain,2
June 24,Croatia,2,Italy,2

Group C
June 16,Serbia,2,England,1
June 16,Slovenia,2,Denmark,1
June 20,Denmark,2,England,1
June 20,Slovenia,1,Serbia,2
June 25,England,1,Slovenia,2
June 25,Denmark,1,Serbia,2

Group D
June 16,Poland,1,Netherlands,2
June 17,Austria,1,France,2
June 21,Poland,1,Austria,1
June 21,Netherlands,1,France,2
June 25,France,1,Poland,1
June 25,Netherlands,1,Austria,2

Group E
June 17,Romania,1,Ukraine,1
June 17,Belgium,1,Slovakia,2
June 21,Slovakia,1,Ukraine,1
June 22,Belgium,1,Romania,2
June 26,Slovakia,1,Romania,1
June 26,Ukraine,2,Belgium,1

Group F
June 18,Turkey,1,Georgia,2
June 18,Portugal,1,Czechia,1
June 22,Georgia,1,Czechia,2
June 22,Portugal,1,Turkey,1
June 26,Czechia,1,Turkey,1
June 26,Georgia,2,Portugal,1

Knockout Stage Predictions
Round of 16
June 30,Croatia,Hungary,Croatia
June 29,Germany,Slovenia,Germany
July 1,Serbia,Slovakia,Serbia
July 1,Austria,Ukraine,Austria
July 2,Romania,Spain,Romania
July 2,France,Czechia,France
June 30,Georgia,Denmark,Georgia
June 29,Switzerland,Italy,Italy

Quarterfinals
July 5,Croatia,Germany,Croatia
July 5,Serbia,Austria,Serbia
July 6,Romania,France,France
July 6,Georgia,Italy,Italy

Semifinals
July 9,Croatia,Serbia,Croatia
July 10,France,Italy,France

Final
July 14,Croatia,France,France

Additional Predictions
Top Goalscorer,Mbappe
Best Goalkeeper,Lloris
Player of Tournament,Kane
Participant Name,Ramin R
