Group Stage Predictions
Group A
June 14,Germany,0,Scotland,1
June 15,Hungary,2,Switzerland,4
June 19,Scotland,1,Switzerland,2
June 19,Germany,1,Hungary,2
June 23,Switzerland,3,Germany,5
June 23,Scotland,4,Hungary,2

Group B
June 15,Spain,2,Croatia,1
June 15,Italy,1,Albania,2
June 19,Croatia,1,Albania,1
June 20,Spain,2,Italy,1
June 24,Albania,1,Spain,2
June 24,Croatia,1,Italy,1

Group C
June 16,Serbia,1,England,1
June 16,Slovenia,1,Denmark,2
June 20,Denmark,1,England,2
June 20,Slovenia,1,Serbia,1
June 25,England,2,Slovenia,5
June 25,Denmark,2,Serbia,3

Group D
June 16,Poland,7,Netherlands,1
June 17,Austria,2,France,1
June 21,Poland,1,Austria,2
June 21,Netherlands,4,France,2
June 25,France,5,Poland,6
June 25,Netherlands,5,Austria,6

Group E
June 17,Romania,7,Ukraine,6
June 17,Belgium,5,Slovakia,6
June 21,Slovakia,6,Ukraine,6
June 22,Belgium,5,Romania,5
June 26,Slovakia,5,Romania,5
June 26,Ukraine,4,Belgium,4

Group F
June 18,Turkey,3,Georgia,3
June 18,Portugal,2,Czechia,1
June 22,Georgia,2,Czechia,2
June 22,Portugal,1,Turkey,1
June 26,Czechia,2,Turkey,1
June 26,Georgia,1,Portugal,0

Knockout Stage Predictions
Round of 16
June 30,Spain,Portugal,Spain
June 29,Scotland,Slovenia,Scotland
July 1,Serbia,Netherlands,Serbia
July 1,Poland,Slovakia,Slovakia
July 2,Romania,England,England
July 2,Austria,Czechia,Austria
June 30,Georgia,Germany,Georgia
June 29,Switzerland,Albania,Switzerland

Quarterfinals
July 5,Spain,Scotland,Spain
July 5,Serbia,Slovakia,Serbia
July 6,England,Austria,England
July 6,Georgia,Switzerland,Switzerland

Semifinals
July 9,Spain,Serbia,Spain
July 10,England,Switzerland,England

Final
July 14,Spain,England,Spain

Additional Predictions
Top Goalscorer,Lukaku
Best Goalkeeper,Courtois
Player of Tournament,Ramos
Participant Name,Shahriar N
