Group Stage Predictions
Group A
June 14,Germany,3,Scotland,0
June 15,Hungary,4,Switzerland,0
June 19,Scotland,4,Switzerland,5
June 19,Germany,2,Hungary,2
June 23,Switzerland,1,Germany,1
June 23,Scotland,2,Hungary,1

Group B
June 15,Spain,2,Croatia,1
June 15,Italy,1,Albania,2
June 19,Croatia,1,Albania,2
June 20,Spain,1,Italy,1
June 24,Albania,1,Spain,2
June 24,Croatia,1,Italy,1

Group C
June 16,Serbia,1,England,1
June 16,Slovenia,2,Denmark,1
June 20,Denmark,1,England,2
June 20,Slovenia,1,Serbia,1
June 25,England,2,Slovenia,1
June 25,Denmark,1,Serbia,2

Group D
June 16,Poland,1,Netherlands,1
June 17,Austria,1,France,2
June 21,Poland,1,Austria,1
June 21,Netherlands,1,France,1
June 25,France,2,Poland,1
June 25,Netherlands,1,Austria,1

Group E
June 17,Romania,2,Ukraine,1
June 17,Belgium,1,Slovakia,1
June 21,Slovakia,1,Ukraine,1
June 22,Belgium,2,Romania,1
June 26,Slovakia,1,Romania,1
June 26,Ukraine,2,Belgium,1

Group F
June 18,Turkey,1,Georgia,1
June 18,Portugal,2,Czechia,1
June 22,Georgia,1,Czechia,2
June 22,Portugal,1,Turkey,1
June 26,Czechia,2,Turkey,1
June 26,Georgia,1,Portugal,2

Knockout Stage Predictions
Round of 16
June 30,Spain,Switzerland,Spain
June 29,Germany,Serbia,Germany
July 1,England,Belgium,England
July 1,Netherlands,Ukraine,Netherlands
July 2,Romania,Italy,Italy
July 2,France,Czechia,France
June 30,Portugal,Slovenia,Portugal
June 29,Hungary,Albania,Hungary

Quarterfinals
July 5,Spain,Germany,Spain
July 5,England,Netherlands,England
July 6,Italy,France,France
July 6,Portugal,Hungary,Portugal

Semifinals
July 9,Spain,England,England
July 10,France,Portugal,France

Final
July 14,England,France,England

Additional Predictions
Top Goalscorer,Kane
Best Goalkeeper,Pickford
Player of Tournament,Mbappe
Participant Name,Sina S
