Group Stage,,,,
Group A,Team 1,,Team 2,
14-Jun,Germany,5,Scotland,1
15-Jun,Hungary,1,Switzerland,3
19-Jun,Scotland,1,Switzerland,1
19-Jun,Germany,2,Hungary,0
23-Jun,Switzerland,1,Germany,1
23-Jun,Scotland,0,Hungary,1
,,,,
Group B,,,,
15-Jun,Spain,3,Croatia,0
15-Jun,Italy,2,Albania,1
19-Jun,Croatia,2,Albania,2
20-Jun,Spain,1,Italy,0
24-Jun,Albania,0,Spain,1
24-Jun,Croatia,1,Italy,1
,,,,
Group C,,,,
16-Jun,Serbia,0,England,1
16-Jun,Slovenia,1,Denmark,1
20-Jun,Denmark,1,England,1
20-Jun,Slovenia,1,Serbia,1
25-Jun,England,0,Slovenia,0
25-Jun,Denmark,0,Serbia,0
,,,,
Group D,,,,
16-Jun,Poland,1,Netherlands,2
17-Jun,Austria,0,France,1
21-Jun,Poland,1,Austria,3
21-Jun,Netherlands,0,France,0
25-Jun,France,1,Poland,1
25-Jun,Netherlands,2,Austria,3
,,,,
Group E,,,,
17-Jun,Romania,3,Ukraine,0
17-Jun,Belgium,0,Slovakia,1
21-Jun,Slovakia,1,Ukraine,2
22-Jun,Belgium,2,Romania,0
26-Jun,Slovakia,1,Romania,1
26-Jun,Ukraine,0,Belgium,0
,,,,
Group F,,,,
18-Jun,Turkey,3,Georgia,1
18-Jun,Portugal,2,Czechia,1
22-Jun,Georgia,1,Czechia,1
22-Jun,Portugal,3,Turkey,0
26-Jun,Czechia,1,Turkey,2
26-Jun,Georgia,2,Portugal,0
,,,,
KO Stage,,,,
Round of 16,Team 1,Team 2,Winner,
30-Jun,,,,
29-Jun,,,,
01-Jul,,,,
01-Jul,,,,
02-Jul,,,,
02-Jul,,,,
30-Jun,,,,
29-Jun,,,,
,,,,
Quarterfinals,,,,
05-Jul,,,,
05-Jul,,,,
06-Jul,,,,
06-Jul,,,,
,,,,
Semifinals,,,,
09-Jul,,,,
10-Jul,,,,
,,,,
Final,,,,
14-Jul,,,,
,,,,
Top Players,,,,
Top Goalscorer,,,,
Player of Tournament,,,,
