Group Stage,,,,,
Group A,Team 1,,Team 2,,Point
14-Jun,Germany,2,Scotland,1,5
15-Jun,Hungary,0,Switzerland,2,8
19-Jun,Scotland,0,Switzerland,1,0
19-Jun,Germany,2,Hungary,0,10
23-Jun,Switzerland,1,Germany,1,10
23-Jun,Scotland,1,Hungary,0,0
,,,,,
Group B,,,,,
15-Jun,Spain,1,Croatia,1,0
15-Jun,Italy,3,Albania,0,5
19-Jun,Croatia,2,Albania,0,0
20-Jun,Spain,1,Italy,0,10
24-Jun,Albania,0,Spain,2,5
24-Jun,Croatia,1,Italy,0,0
,,,,,
Group C,,,,,
16-Jun,Serbia,1,England,2,8
16-Jun,Slovenia,0,Denmark,1,0
20-Jun,Denmark,1,England,2,0
20-Jun,Slovenia,1,Serbia,0,0
25-Jun,England,1,Slovenia,0,0
25-Jun,Denmark,2,Serbia,1,0
,,,,,
Group D,,,,,
16-Jun,Poland,1,Netherlands,2,10
17-Jun,Austria,1,France,2,8
21-Jun,Poland,1,Austria,1,0
21-Jun,Netherlands,1,France,2,0
25-Jun,France,3,Poland,1,0
25-Jun,Netherlands,2,Austria,0,0
,,,,,
Group E,,,,,
17-Jun,Romania,0,Ukraine,1,0
17-Jun,Belgium,2,Slovakia,0,0
21-Jun,Slovakia,1,Ukraine,0,0
22-Jun,Belgium,3,Romania,0,5
26-Jun,Slovakia,1,Romania,0,0
26-Jun,Ukraine,0,Belgium,2,0
,,,,,
Group F,,,,,
18-Jun,Turkey,2,Georgia,1,5
18-Jun,Portugal,2,Czechia,1,10
22-Jun,Georgia,0,Czechia,1,0
22-Jun,Portugal,2,Turkey,0,5
26-Jun,Czechia,2,Turkey,1,0
26-Jun,Georgia,0,Portugal,3,0
,,,,,
KO Stage,,,,,
Round of 16,Team 1,Team 2,Winner,,Point
30-Jun,Spain,Scotland,Spain,,20
29-Jun,Germany,Denmark,Germany,,20
01-Jul,England,Turkey,England,,20
01-Jul,Netherlands,Slovakia,Netherlands,,20
02-Jul,Belgium,Italy,Belgium,,0
02-Jul,France,Czechia,France,,20
30-Jun,Portugal,Slovenia,Portugal,,20
29-Jun,Switzerland,Croatia,Croatia,,0
,,,,,
Quarterfinals,,,,,
05-Jul,Spain,Germany,Spain,,40
05-Jul,England,Croatia,England,,40
06-Jul,Belgium,France,France,,40
06-Jul,Portugal,Netherlands,Portugal,,0
,,,,,
Semifinals,,,,,
09-Jul,Spain,Portugal,Spain,,60
10-Jul,England,France,France,,0
,,,,,
Final,,,,,
14-Jul,Spain,France,Spain,,80
,,,,,
Top Players,,,,,
Top Goalscorer,Mbappe,,,,0
Player of Tournament,Pedri,,,,0
Participant Name,Ali bahari,,,,
