Group Stage,,,,,
Group A,Team 1,,Team 2,,Point
14-Jun,Germany,2,Scotland,0,5
15-Jun,Hungary,0,Switzerland,1,5
19-Jun,Scotland,1,Switzerland,1,10
19-Jun,Germany,3,Hungary,0,5
23-Jun,Switzerland,0,Germany,1,0
23-Jun,Scotland,1,Hungary,4,5
,,,,,
Group B,,,,,
15-Jun,Spain,1,Croatia,0,5
15-Jun,Italy,2,Albania,0,5
19-Jun,Croatia,2,Albania,0,0
20-Jun,Spain,1,Italy,1,0
24-Jun,Albania,0,Spain,3,5
24-Jun,Croatia,1,Italy,0,0
,,,,,
Group C,,,,,
16-Jun,Serbia,0,England,2,5
16-Jun,Slovenia,0,Denmark,1,0
20-Jun,Denmark,1,England,2,0
20-Jun,Slovenia,0,Serbia,3,0
25-Jun,England,4,Slovenia,0,0
25-Jun,Denmark,0,Serbia,1,0
,,,,,
Group D,,,,,
16-Jun,Poland,1,Netherlands,2,10
17-Jun,Austria,0,France,2,5
21-Jun,Poland,1,Austria,0,0
21-Jun,Netherlands,1,France,0,0
25-Jun,France,3,Poland,1,0
25-Jun,Netherlands,3,Austria,1,0
,,,,,
Group E,,,,,
17-Jun,Romania,0,Ukraine,2,0
17-Jun,Belgium,3,Slovakia,0,0
21-Jun,Slovakia,1,Ukraine,2,10
22-Jun,Belgium,3,Romania,0,5
26-Jun,Slovakia,1,Romania,0,0
26-Jun,Ukraine,0,Belgium,1,0
,,,,,
Group F,,,,,
18-Jun,Turkey,2,Georgia,0,8
18-Jun,Portugal,2,Czechia,0,5
22-Jun,Georgia,0,Czechia,1,0
22-Jun,Portugal,2,Turkey,1,5
26-Jun,Czechia,1,Turkey,2,10
26-Jun,Georgia,0,Portugal,3,0
,,,,,
KO Stage,,,,,
Round of 16,Team 1,Team 2,Winner,,Point
30-Jun,Spain,Hungary,Spain,,20
29-Jun,Germany,Serbia,Germany,,20
01-Jul,England,Poland,England,,20
01-Jul,France,Ukraine,France,,20
02-Jul,Belgium,Italy,Belgium,,0
02-Jul,Netherlands,Turkey,Netherlands,,20
30-Jun,Portugal,Denmark,Portugal,,20
29-Jun,Switzerland,Croatia,Croatia,,0
,,,,,
Quarterfinals,,,,,
05-Jul,Spain,Germany,Germany,,0
05-Jul,England,Croatia,England,,40
06-Jul,Belgium,Netherlands,Netherlands,,40
06-Jul,Portugal,France,Portugal,,0
,,,,,
Semifinals,,,,,
09-Jul,Germany,Portugal,Germany,,0
10-Jul,England,Netherlands,England,,60
,,,,,
Final,,,,,
14-Jul,Germany,England,Germany,,0
,,,,,
Top Players,,,,,
Top Goalscorer,Kane,,,,80
Player of Tournament,Wirtz,,,,0
Participant Name,Amir D,,,,
