Group Stage,,,,,
Group A,Team 1,,Team 2,,Point
14-Jun,Germany,3,Scotland,0,5
15-Jun,Hungary,0,Switzerland,2,8
19-Jun,Scotland,1,Switzerland,3,0
19-Jun,Germany,4,Hungary,0,5
23-Jun,Switzerland,1,Germany,1,10
23-Jun,Scotland,1,Hungary,0,0
,,,,,
Group B,,,,,
15-Jun,Spain,2,Croatia,2,0
15-Jun,Italy,4,Albania,0,5
19-Jun,Croatia,2,Albania,0,0
20-Jun,Spain,2,Italy,2,0
24-Jun,Albania,0,Spain,6,5
24-Jun,Croatia,1,Italy,1,10
,,,,,
Group C,,,,,
16-Jun,Serbia,0,England,3,5
16-Jun,Slovenia,1,Denmark,2,0
20-Jun,Denmark,1,England,2,0
20-Jun,Slovenia,2,Serbia,2,5
25-Jun,England,4,Slovenia,0,0
25-Jun,Denmark,1,Serbia,0,0
,,,,,
Group D,,,,,
16-Jun,Poland,0,Netherlands,3,5
17-Jun,Austria,0,France,4,5
21-Jun,Poland,1,Austria,0,0
21-Jun,Netherlands,2,France,3,0
25-Jun,France,3,Poland,1,0
25-Jun,Netherlands,2,Austria,0,0
,,,,,
Group E,,,,,
17-Jun,Romania,0,Ukraine,1,0
17-Jun,Belgium,3,Slovakia,2,0
21-Jun,Slovakia,1,Ukraine,0,0
22-Jun,Belgium,4,Romania,0,5
26-Jun,Slovakia,3,Romania,1,0
26-Jun,Ukraine,1,Belgium,3,0
,,,,,
Group F,,,,,
18-Jun,Turkey,1,Georgia,0,5
18-Jun,Portugal,2,Czechia,0,5
22-Jun,Georgia,1,Czechia,1,10
22-Jun,Portugal,3,Turkey,1,5
26-Jun,Czechia,2,Turkey,3,8
26-Jun,Georgia,1,Portugal,3,0
,,,,,
KO Stage,,,,,
Round of 16,Team 1,Team 2,Winner,,Point
30-Jun,Spain,Poland,Spain,,20
29-Jun,Germany,Denmark,Germany,,20
01-Jul,England,Ukraine,England,,20
01-Jul,Netherlands,Slovakia,Netherlands,,20
02-Jul,Belgium,Scotland,Belgium,,0
02-Jul,France,Turkey,France,,20
30-Jun,Portugal,Croatia,Portugal,,20
29-Jun,Switzerland,Italy,Italy,,0
,,,,,
Quarterfinals,,,,,
05-Jul,Spain,Germany,Spain,,40
05-Jul,England,Italy,England,,40
06-Jul,Belgium,France,France,,40
06-Jul,Portugal,Netherlands,Netherlands,,40
,,,,,
Semifinals,,,,,
09-Jul,Spain,Netherlands,Netherlands,,0
10-Jul,England,France,France,,0
,,,,,
Final,,,,,
14-Jul,Netherlands,France,France,,0
,,,,,
Top Players,,,,,
Top Goalscorer,Lukaku,,,,0
Player of Tournament,Mbappe,,,,0
Participant Name,Babak J,,,,
