Group Stage,,,,,
Group A,Team 1,,Team 2,,Point
14-Jun,Germany,3,Scotland,1,5
15-Jun,Hungary,2,Switzerland,4,8
19-Jun,Scotland,1,Switzerland,1,10
19-Jun,Germany,2,Hungary,1,5
23-Jun,Switzerland,1,Germany,3,0
23-Jun,Scotland,1,Hungary,0,0
,,,,,
Group B,,,,,
15-Jun,Spain,3,Croatia,1,5
15-Jun,Italy,3,Albania,1,5
19-Jun,Croatia,3,Albania,1,0
20-Jun,Spain,2,Italy,1,8
24-Jun,Albania,0,Spain,3,5
24-Jun,Croatia,2,Italy,3,0
,,,,,
Group C,,,,,
16-Jun,Serbia,0,England,3,5
16-Jun,Slovenia,1,Denmark,2,0
20-Jun,Denmark,1,England,3,0
20-Jun,Slovenia,1,Serbia,1,10
25-Jun,England,2,Slovenia,0,0
25-Jun,Denmark,2,Serbia,0,0
,,,,,
Group D,,,,,
16-Jun,Poland,0,Netherlands,2,5
17-Jun,Austria,0,France,2,5
21-Jun,Poland,1,Austria,1,0
21-Jun,Netherlands,1,France,2,0
25-Jun,France,3,Poland,0,0
25-Jun,Netherlands,2,Austria,0,0
,,,,,
Group E,,,,,
17-Jun,Romania,3,Ukraine,2,5
17-Jun,Belgium,2,Slovakia,0,0
21-Jun,Slovakia,3,Ukraine,1,0
22-Jun,Belgium,1,Romania,0,5
26-Jun,Slovakia,1,Romania,1,10
26-Jun,Ukraine,0,Belgium,3,0
,,,,,
Group F,,,,,
18-Jun,Turkey,2,Georgia,0,8
18-Jun,Portugal,3,Czechia,0,5
22-Jun,Georgia,1,Czechia,3,0
22-Jun,Portugal,4,Turkey,1,8
26-Jun,Czechia,0,Turkey,1,8
26-Jun,Georgia,0,Portugal,3,0
,,,,,
KO Stage,,,,,
Round of 16,Team 1,Team 2,Winner,,Point
30-Jun,Spain,Slovakia,Spain,,20
29-Jun,Germany,Denmark,Germany,,20
01-Jul,England,Czechia,England,,20
01-Jul,Netherlands,Romania,Netherlands,,20
02-Jul,Belgium,Croatia,Belgium,,0
02-Jul,France,Turkey,France,,20
30-Jun,Portugal,Scotland,Portugal,,20
29-Jun,Switzerland,Italy,Italy,,0
,,,,,
Quarterfinals,,,,,
05-Jul,Spain,Germany,Spain,,40
05-Jul,England,Italy,England,,40
06-Jul,Belgium,France,France,,40
06-Jul,Portugal,Netherlands,Portugal,,0
,,,,,
Semifinals,,,,,
09-Jul,Spain,Portugal,Spain,,60
10-Jul,England,France,England,,60
,,,,,
Final,,,,,
14-Jul,Spain,England,Spain,,80
,,,,,
Top Players,,,,,
Top Goalscorer,Mbappe,,,,0
Player of Tournament,Bellingham,,,,0
Participant Name,Ehsan T,,,,
