Group Stage,,,,,
Group A,Team 1,,Team 2,,Point
14-Jun,Germany,2,Scotland,0,5
15-Jun,Hungary,3,Switzerland,0,0
19-Jun,Scotland,2,Switzerland,1,0
19-Jun,Germany,3,Hungary,1,8
23-Jun,Switzerland,0,Germany,2,0
23-Jun,Scotland,1,Hungary,1,0
,,,,,
Group B,,,,,
15-Jun,Spain,2,Croatia,2,0
15-Jun,Italy,2,Albania,0,5
19-Jun,Croatia,3,Albania,0,0
20-Jun,Spain,1,Italy,1,0
24-Jun,Albania,1,Spain,4,5
24-Jun,Croatia,3,Italy,2,0
,,,,,
Group C,,,,,
16-Jun,Serbia,1,England,3,5
16-Jun,Slovenia,0,Denmark,0,5
20-Jun,Denmark,1,England,2,0
20-Jun,Slovenia,3,Serbia,0,0
25-Jun,England,2,Slovenia,1,0
25-Jun,Denmark,1,Serbia,0,0
,,,,,
Group D,,,,,
16-Jun,Poland,1,Netherlands,2,10
17-Jun,Austria,1,France,3,5
21-Jun,Poland,1,Austria,1,0
21-Jun,Netherlands,2,France,3,0
25-Jun,France,1,Poland,1,10
25-Jun,Netherlands,2,Austria,0,0
,,,,,
Group E,,,,,
17-Jun,Romania,2,Ukraine,0,5
17-Jun,Belgium,3,Slovakia,0,0
21-Jun,Slovakia,2,Ukraine,1,0
22-Jun,Belgium,2,Romania,0,10
26-Jun,Slovakia,1,Romania,1,10
26-Jun,Ukraine,1,Belgium,1,5
,,,,,
Group F,,,,,
18-Jun,Turkey,0,Georgia,1,0
18-Jun,Portugal,1,Czechia,1,0
22-Jun,Georgia,1,Czechia,3,0
22-Jun,Portugal,1,Turkey,0,5
26-Jun,Czechia,1,Turkey,1,0
26-Jun,Georgia,1,Portugal,2,0
,,,,,
KO Stage,,,,,
Round of 16,Team 1,Team 2,Winner,,Point
30-Jun,Croatia,Scotland,Croatia,,0
29-Jun,Germany,Slovenia,Germany,,20
01-Jul,England,Slovakia,England,,20
01-Jul,Netherlands,Romania,Netherlands,,20
02-Jul,Belgium,Italy,Italy,,0
02-Jul,France,Czechia,France,,20
30-Jun,Portugal,Denmark,Portugal,,20
29-Jun,Hungary,Spain,Spain,,20
,,,,,
Quarterfinals,,,,,
05-Jul,Croatia,Germany,Germany,,0
05-Jul,England,Spain,Spain,,40
06-Jul,Italy,France,France,,40
06-Jul,Portugal,Netherlands,Netherlands,,40
,,,,,
Semifinals,,,,,
09-Jul,Germany,Netherlands,Germany,,0
10-Jul,Spain,France,France,,0
,,,,,
Final,,,,,
14-Jul,Germany,France,France,,0
,,,,,
Top Players,,,,,
Top Goalscorer,Mbappe,,,,0
Player of Tournament,Mbappe,,,,0
Participant Name,Hootan M,,,,
