Group Stage,,,,,
Group A,Team 1,,Team 2,,Point
14-Jun,Germany,4,Scotland,0,8
15-Jun,Hungary,2,Switzerland,3,5
19-Jun,Scotland,1,Switzerland,2,0
19-Jun,Germany,2,Hungary,0,10
23-Jun,Switzerland,2,Germany,2,5
23-Jun,Scotland,2,Hungary,4,5
,,,,,
Group B,,,,,
15-Jun,Spain,2,Croatia,2,0
15-Jun,Italy,3,Albania,1,5
19-Jun,Croatia,2,Albania,0,0
20-Jun,Spain,2,Italy,1,8
24-Jun,Albania,1,Spain,5,5
24-Jun,Croatia,2,Italy,1,0
,,,,,
Group C,,,,,
16-Jun,Serbia,1,England,3,5
16-Jun,Slovenia,1,Denmark,1,10
20-Jun,Denmark,0,England,2,0
20-Jun,Slovenia,2,Serbia,3,0
25-Jun,England,2,Slovenia,1,0
25-Jun,Denmark,2,Serbia,1,0
,,,,,
Group D,,,,,
16-Jun,Poland,1,Netherlands,3,5
17-Jun,Austria,0,France,3,5
21-Jun,Poland,0,Austria,2,8
21-Jun,Netherlands,1,France,3,0
25-Jun,France,2,Poland,0,0
25-Jun,Netherlands,3,Austria,1,0
,,,,,
Group E,,,,,
17-Jun,Romania,1,Ukraine,3,0
17-Jun,Belgium,2,Slovakia,0,0
21-Jun,Slovakia,2,Ukraine,1,0
22-Jun,Belgium,4,Romania,0,5
26-Jun,Slovakia,2,Romania,1,0
26-Jun,Ukraine,1,Belgium,2,0
,,,,,
Group F,,,,,
18-Jun,Turkey,2,Georgia,1,5
18-Jun,Portugal,2,Czechia,0,5
22-Jun,Georgia,0,Czechia,1,0
22-Jun,Portugal,2,Turkey,2,0
26-Jun,Czechia,1,Turkey,3,5
26-Jun,Georgia,1,Portugal,4,0
,,,,,
KO Stage,,,,,
Round of 16,Team 1,Team 2,Winner,,Point
30-Jun,Spain,Hungary,Spain,,20
29-Jun,Germany,Denmark,Germany,,20
01-Jul,England,Ukraine,England,,20
01-Jul,Netherlands,Slovakia,Netherlands,,20
02-Jul,Belgium,Italy,Italy,,0
02-Jul,France,Turkey,France,,20
30-Jun,Portugal,Serbia,Portugal,,20
29-Jun,Switzerland,Croatia,Croatia,,0
,,,,,
Quarterfinals,,,,,
05-Jul,Spain,Germany,Germany,,0
05-Jul,England,Croatia,England,,40
06-Jul,Italy,France,France,,40
06-Jul,Portugal,Netherlands,Netherlands,,40
,,,,,
Semifinals,,,,,
09-Jul,Germany,Netherlands,Germany,,0
10-Jul,England,France,England,,60
,,,,,
Final,,,,,
14-Jul,Germany,England,England,,0
,,,,,
Top Players,,,,,
Top Goalscorer,Kane,,,,80
Player of Tournament,Kane ,,,,0
Participant Name,Mod J,,,,
