Group Stage,,,,,
Group A,Team 1,,Team 2,,Point
14-Jun,Germany,3,Scotland,1,5
15-Jun,Hungary,1,Switzerland,1,0
19-Jun,Scotland,1,Switzerland,1,10
19-Jun,Germany,2,Hungary,1,5
23-Jun,Switzerland,1,Germany,2,0
23-Jun,Scotland,1,Hungary,2,8
,,,,,
Group B,,,,,
15-Jun,Spain,2,Croatia,1,5
15-Jun,Italy,3,Albania,0,5
19-Jun,Croatia,2,Albania,0,0
20-Jun,Spain,1,Italy,1,0
24-Jun,Albania,0,Spain,2,5
24-Jun,Croatia,1,Italy,2,0
,,,,,
Group C,,,,,
16-Jun,Serbia,1,England,2,8
16-Jun,Slovenia,0,Denmark,1,0
20-Jun,Denmark,1,England,2,0
20-Jun,Slovenia,1,Serbia,2,0
25-Jun,England,2,Slovenia,0,0
25-Jun,Denmark,0,Serbia,1,0
,,,,,
Group D,,,,,
16-Jun,Poland,1,Netherlands,2,10
17-Jun,Austria,1,France,1,0
21-Jun,Poland,1,Austria,2,5
21-Jun,Netherlands,1,France,2,0
25-Jun,France,2,Poland,0,0
25-Jun,Netherlands,1,Austria,0,0
,,,,,
Group E,,,,,
17-Jun,Romania,1,Ukraine,1,0
17-Jun,Belgium,3,Slovakia,1,0
21-Jun,Slovakia,1,Ukraine,2,10
22-Jun,Belgium,2,Romania,0,10
26-Jun,Slovakia,1,Romania,1,10
26-Jun,Ukraine,1,Belgium,2,0
,,,,,
Group F,,,,,
18-Jun,Turkey,2,Georgia,1,5
18-Jun,Portugal,3,Czechia,1,5
22-Jun,Georgia,1,Czechia,1,10
22-Jun,Portugal,2,Turkey,1,5
26-Jun,Czechia,1,Turkey,1,0
26-Jun,Georgia,0,Portugal,3,0
,,,,,
KO Stage,,,,,
Round of 16,Team 1,Team 2,Winner,,Point
30-Jun,Italy,Switzerland,Italy,,0
29-Jun,Germany,Serbia,Germany,,20
01-Jul,England,Austria,England,,20
01-Jul,Netherlands,Ukraine,Netherlands,,20
02-Jul,Belgium,Croatia,Belgium,,0
02-Jul,France,Turkey,France,,20
30-Jun,Portugal,Denmark,Portugal,,20
29-Jun,Hungary,Spain,Spain,,20
,,,,,
Quarterfinals,,,,,
05-Jul,Italy,Germany,Germany,,0
05-Jul,England,Spain,England,,40
06-Jul,Belgium,France,France,,40
06-Jul,Portugal,Netherlands,Netherlands,,40
,,,,,
Semifinals,,,,,
09-Jul,Germany,Netherlands,Germany,,0
10-Jul,England,France,England,,60
,,,,,
Final,,,,,
14-Jul,Germany,England,Germany,,0
,,,,,
Top Players,,,,,
Top Goalscorer,Kane,,,,80
Player of Tournament,Bellingham,,,,0
Participant Name,Nima N,,,,
