Group Stage,,,,,
Group A,Team 1,,Team 2,,Point
14-Jun,Germany,3,Scotland,1,5
15-Jun,Hungary,1,Switzerland,2,5
19-Jun,Scotland,1,Switzerland,1,10
19-Jun,Germany,2,Hungary,0,10
23-Jun,Switzerland,1,Germany,1,10
23-Jun,Scotland,2,Hungary,2,0
,,,,,
Group B,,,,,
15-Jun,Spain,2,Croatia,2,0
15-Jun,Italy,3,Albania,0,5
19-Jun,Croatia,2,Albania,1,0
20-Jun,Spain,2,Italy,1,8
24-Jun,Albania,0,Spain,4,5
24-Jun,Croatia,1,Italy,2,0
,,,,,
Group C,,,,,
16-Jun,Serbia,1,England,3,5
16-Jun,Slovenia,1,Denmark,2,0
20-Jun,Denmark,1,England,2,0
20-Jun,Slovenia,1,Serbia,1,10
25-Jun,England,4,Slovenia,1,0
25-Jun,Denmark,2,Serbia,2,5
,,,,,
Group D,,,,,
16-Jun,Poland,1,Netherlands,2,10
17-Jun,Austria,1,France,3,5
21-Jun,Poland,2,Austria,2,0
21-Jun,Netherlands,2,France,2,5
25-Jun,France,3,Poland,0,0
25-Jun,Netherlands,4,Austria,1,0
,,,,,
Group E,,,,,
17-Jun,Romania,1,Ukraine,1,0
17-Jun,Belgium,2,Slovakia,0,0
21-Jun,Slovakia,1,Ukraine,2,10
22-Jun,Belgium,4,Romania,1,5
26-Jun,Slovakia,1,Romania,2,0
26-Jun,Ukraine,1,Belgium,1,5
,,,,,
Group F,,,,,
18-Jun,Turkey,2,Georgia,0,8
18-Jun,Portugal,3,Czechia,1,5
22-Jun,Georgia,0,Czechia,1,0
22-Jun,Portugal,2,Turkey,2,0
26-Jun,Czechia,1,Turkey,2,10
26-Jun,Georgia,0,Portugal,4,0
,,,,,
KO Stage,,,,,
Round of 16,Team 1,Team 2,Winner,,Point
30-Jun,Spain,Romania,Spain,,20
29-Jun,Germany,Denmark,Germany,,20
01-Jul,England,Czechia,England,,20
01-Jul,Netherlands,Ukraine,Netherlands,,20
02-Jul,Belgium,Croatia,Croatia,,0
02-Jul,France,Turkey,France,,20
30-Jun,Portugal,Scotland,Portugal,,20
29-Jun,Switzerland,Italy,Italy,,0
,,,,,
Quarterfinals,,,,,
05-Jul,Spain,Germany,Spain,,40
05-Jul,England,Italy,England,,40
06-Jul,Croatia,France,France,,40
06-Jul,Portugal,Netherlands,Portugal,,0
,,,,,
Semifinals,,,,,
09-Jul,Spain,Portugal,Spain,,60
10-Jul,England,France,England,,60
,,,,,
Final,,,,,
14-Jul,Spain,England,Spain,,80
,,,,,
Top Players,,,,,
Top Goalscorer,Mbappe,,,,0
Player of Tournament,Mbappe,,,,0
Participant Name,Ramin R,,,,
