Group Stage,,,,,
Group A,Team 1,,Team 2,,Point
14-Jun,Germany,2,Scotland,0,5
15-Jun,Hungary,0,Switzerland,2,8
19-Jun,Scotland,1,Switzerland,1,10
19-Jun,Germany,2,Hungary,0,10
23-Jun,Switzerland,0,Germany,1,0
23-Jun,Scotland,1,Hungary,1,0
,,,,,
Group B,,,,,
15-Jun,Spain,1,Croatia,1,0
15-Jun,Italy,2,Albania,0,5
19-Jun,Croatia,2,Albania,0,0
20-Jun,Spain,2,Italy,1,8
24-Jun,Albania,0,Spain,2,5
24-Jun,Croatia,1,Italy,1,10
,,,,,
Group C,,,,,
16-Jun,Serbia,1,England,2,8
16-Jun,Slovenia,0,Denmark,1,0
20-Jun,Denmark,0,England,2,0
20-Jun,Slovenia,1,Serbia,2,0
25-Jun,England,3,Slovenia,0,0
25-Jun,Denmark,1,Serbia,1,5
,,,,,
Group D,,,,,
16-Jun,Poland,1,Netherlands,1,0
17-Jun,Austria,0,France,2,5
21-Jun,Poland,2,Austria,0,0
21-Jun,Netherlands,1,France,1,5
25-Jun,France,2,Poland,1,0
25-Jun,Netherlands,2,Austria,0,0
,,,,,
Group E,,,,,
17-Jun,Romania,1,Ukraine,1,0
17-Jun,Belgium,2,Slovakia,0,0
21-Jun,Slovakia,1,Ukraine,1,0
22-Jun,Belgium,2,Romania,0,10
26-Jun,Slovakia,1,Romania,1,10
26-Jun,Ukraine,1,Belgium,2,0
,,,,,
Group F,,,,,
18-Jun,Turkey,2,Georgia,1,5
18-Jun,Portugal,2,Czechia,0,5
22-Jun,Georgia,0,Czechia,2,0
22-Jun,Portugal,2,Turkey,0,5
26-Jun,Czechia,2,Turkey,1,0
26-Jun,Georgia,0,Portugal,3,0
,,,,,
KO Stage,,,,,
Round of 16,Team 1,Team 2,Winner,,Point
30-Jun,Spain,Turkey,Spain,,20
29-Jun,Germany,Serbia,Germany,,20
01-Jul,England,Poland,England,,20
01-Jul,Netherlands,Ukraine,Netherlands,,20
02-Jul,Belgium,Denmark,Belgium,,0
02-Jul,France,Czechia,France,,20
30-Jun,Portugal,Italy,Portugal,,20
29-Jun,Switzerland,Croatia,Croatia,,0
,,,,,
Quarterfinals,,,,,
05-Jul,Spain,Germany,Spain,,40
05-Jul,England,Croatia,England,,40
06-Jul,Belgium,France,France,,40
06-Jul,Portugal,Netherlands,Netherlands,,40
,,,,,
Semifinals,,,,,
09-Jul,Spain,Netherlands,Spain,,60
10-Jul,England,France,England,,60
,,,,,
Final,,,,,
14-Jul,Spain,England,Spain,,80
,,,,,
Top Players,,,,,
Top Goalscorer,Mbappé,,,,0
Player of Tournament,Yamal,,,,0
Participant Name,Shahriar N,,,,
