Group Stage,,,,,
Group A,Team 1,,Team 2,,Point
14-Jun,Germany,3,Scotland,1,5
15-Jun,Hungary,2,Switzerland,2,0
19-Jun,Scotland,1,Switzerland,1,10
19-Jun,Germany,2,Hungary,0,10
23-Jun,Switzerland,1,Germany,1,10
23-Jun,Scotland,2,Hungary,2,0
,,,,,
Group B,,,,,
15-Jun,Spain,1,Croatia,1,0
15-Jun,Italy,3,Albania,0,5
19-Jun,Croatia,2,Albania,1,0
20-Jun,Spain,2,Italy,1,8
24-Jun,Albania,0,Spain,3,5
24-Jun,Croatia,2,Italy,2,5
,,,,,
Group C,,,,,
16-Jun,Serbia,1,England,3,5
16-Jun,Slovenia,0,Denmark,1,0
20-Jun,Denmark,1,England,2,0
20-Jun,Slovenia,1,Serbia,1,10
25-Jun,England,2,Slovenia,0,0
25-Jun,Denmark,1,Serbia,1,5
,,,,,
Group D,,,,,
16-Jun,Poland,1,Netherlands,2,10
17-Jun,Austria,0,France,3,5
21-Jun,Poland,2,Austria,1,0
21-Jun,Netherlands,2,France,2,5
25-Jun,France,2,Poland,0,0
25-Jun,Netherlands,3,Austria,1,0
,,,,,
Group E,,,,,
17-Jun,Romania,1,Ukraine,1,0
17-Jun,Belgium,2,Slovakia,0,0
21-Jun,Slovakia,1,Ukraine,1,0
22-Jun,Belgium,2,Romania,1,5
26-Jun,Slovakia,1,Romania,3,0
26-Jun,Ukraine,1,Belgium,3,0
,,,,,
Group F,,,,,
18-Jun,Turkey,2,Georgia,1,5
18-Jun,Portugal,3,Czechia,1,5
22-Jun,Georgia,0,Czechia,1,0
22-Jun,Portugal,2,Turkey,0,5
26-Jun,Czechia,1,Turkey,1,0
26-Jun,Georgia,1,Portugal,4,0
,,,,,
KO Stage,,,,,
Round of 16,Team 1,Team 2,Winner,,Point
30-Jun,Spain,Poland,Spain,,20
29-Jun,Germany,Denmark,Germany,,20
01-Jul,England,Czechia,England,,20
01-Jul,Netherlands,Romania,Netherlands,,20
02-Jul,Belgium,Scotland,Belgium,,0
02-Jul,France,Turkey,France,,20
30-Jun,Portugal,Italy,Portugal,,20
29-Jun,Switzerland,Croatia,Croatia,,0
,,,,,
Quarterfinals,,,,,
05-Jul,Spain,Germany,Spain,,40
05-Jul,England,Croatia,England,,40
06-Jul,Belgium,France,France,,40
06-Jul,Portugal,Netherlands,Netherlands,,40
,,,,,
Semifinals,,,,,
09-Jul,Spain,Netherlands,Spain,,60
10-Jul,England,France,England,,60
,,,,,
Final,,,,,
14-Jul,Spain,England,Spain,,80
,,,,,
Top Players,,,,,
Top Goalscorer,Mbappe,,,,0
Player of Tournament,Pedri,,,,0
Participant Name,Siamak J,,,,
